condition,cond_short,rating,feature,group,rho,p_raw,p_fdr,n
High Stress - Low Cog,HS–LW,stress,eeg_fm_lalpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.015829072054172,0.9238047542600556,0.9238047542600556,39
High Stress - Low Cog,HS–LW,workload,eeg_fm_lalpha_mean_full_change_precond_Z,EEG_FrontalMidline,6.154073385366274e-4,0.9970333345789011,0.9970333345789011,39
Low Stress - High Cog,LS–HW,stress,eeg_fm_lalpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.16515920887180224,0.3084635664488578,0.7286002231820359,40
Low Stress - High Cog,LS–HW,workload,eeg_fm_lalpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.18292309421453903,0.25856625126053545,0.8719772171339447,40
Low Stress - Low Cog,LS–LW,stress,eeg_fm_lalpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.14520002156537012,0.3713453973898466,0.6684217153017239,40
Low Stress - Low Cog,LS–LW,workload,eeg_fm_lalpha_mean_full_change_precond_Z,EEG_FrontalMidline,-0.11812227833147883,0.4678825224576153,0.60156324315979115,40
High Stress - High Cog,HS–HW,stress,eeg_fm_lbeta_mean_full_change_precond_Z,EEG_FrontalMidline,0.2632323895872193,0.10077161923665012,0.30231485770995037,40
High Stress - High Cog,HS–HW,workload,eeg_fm_lbeta_mean_full_change_precond_Z,EEG_FrontalMidline,0.25896202418970776,0.10662631975026556,0.191927375550478,40
High Stress - Low Cog,HS–LW,stress,eeg_fm_lbeta_mean_full_change_precond_Z,EEG_FrontalMidline,0.15338881435720222,0.3511918901772444,0.5267878352658666,39
High Stress - Low Cog,HS–LW,workload,eeg_fm_lbeta_mean_full_change_precond_Z,EEG_FrontalMidline,0.08143890446634704,0.6221124056704475,0.9331686085056712,39
Low Stress - High Cog,LS–HW,stress,eeg_fm_lbeta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.06840690344575792,0.6749120901554461,0.7592761014248768,40
Low Stress - High Cog,LS–HW,workload,eeg_fm_lbeta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.039129469421415514,0.8105467592735314,0.8719772171339447,40
Low Stress - Low Cog,LS–LW,stress,eeg_fm_lbeta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.20996414041702416,0.19347339822151255,0.5068460075924649,40
Low Stress - Low Cog,LS–LW,workload,eeg_fm_lbeta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.09829222676332094,0.5462385996898712,0.6145184246511051,40
High Stress - High Cog,HS–HW,stress,eeg_fm_sampent_full_change_precond_Z,EEG_FrontalMidline,-0.16132682395622175,0.31997951784940853,0.5759631321289354,40
High Stress - High Cog,HS–HW,workload,eeg_fm_sampent_full_change_precond_Z,EEG_FrontalMidline,-0.14302055167593145,0.378644467392794,0.567966701089191,40
High Stress - Low Cog,HS–LW,stress,eeg_fm_sampent_full_change_precond_Z,EEG_FrontalMidline,0.30299907603050535,0.06079128738084355,0.5267878352658666,39
High Stress - Low Cog,HS–LW,workload,eeg_fm_sampent_full_change_precond_Z,EEG_FrontalMidline,0.26267636566538377,0.10619059058935156,0.9331686085056712,39
Low Stress - High Cog,LS–HW,stress,eeg_fm_sampent_full_change_precond_Z,EEG_FrontalMidline,0.09335085718840996,0.5666890624749168,0.7286002231820359,40
Low Stress - High Cog,LS–HW,workload,eeg_fm_sampent_full_change_precond_Z,EEG_FrontalMidline,0.04592211570239474,0.7784223026384632,0.8719772171339447,40
Low Stress - Low Cog,LS–LW,stress,eeg_fm_sampent_full_change_precond_Z,EEG_FrontalMidline,0.05116931839299779,0.7538502394106921,0.9456068712702246,40
Low Stress - Low Cog,LS–LW,workload,eeg_fm_sampent_full_change_precond_Z,EEG_FrontalMidline,-0.19086424634351945,0.2381049561988761,0.60156324315979115,40
High Stress - High Cog,HS–HW,stress,eeg_fm_specent_full_change_precond_Z,EEG_FrontalMidline,0.011827479762186345,0.9422565416942673,0.9468691727845778,40
High Stress - High Cog,HS–HW,workload,eeg_fm_specent_full_change_precond_Z,EEG_FrontalMidline,-0.05298505742197871,0.7454014033927134,0.7454014033927134,40
High Stress - Low Cog,HS–LW,stress,eeg_fm_specent_full_change_precond_Z,EEG_FrontalMidline,0.1750389000054891,0.2865105364153138,0.5267878352658666,39
High Stress - Low Cog,HS–LW,workload,eeg_fm_specent_full_change_precond_Z,EEG_FrontalMidline,0.11918388789659351,0.4698833289843526,0.9331686085056712,39
Low Stress - High Cog,LS–HW,stress,eeg_fm_specent_full_change_precond_Z,EEG_FrontalMidline,0.09731921346565006,0.5502376180744109,0.7286002231820359,40
Low Stress - High Cog,LS–HW,workload,eeg_fm_specent_full_change_precond_Z,EEG_FrontalMidline,0.08591262479323016,0.5981203199012828,0.8719772171339447,40
Low Stress - Low Cog,LS–LW,stress,eeg_fm_specent_full_change_precond_Z,EEG_FrontalMidline,-0.01114018370917664,0.9456068712702246,0.9456068712702246,40
Low Stress - Low Cog,LS–LW,workload,eeg_fm_specent_full_change_precond_Z,EEG_FrontalMidline,-0.03956476634993035,0.8084782932820989,0.8084782932820989,40
High Stress - High Cog,HS–HW,stress,eeg_fm_theta_mean_full_change_precond_Z,EEG_FrontalMidline,0.13596870734609423,0.40283539819646264,0.604253097294694,40
High Stress - High Cog,HS–HW,workload,eeg_fm_theta_mean_full_change_precond_Z,EEG_FrontalMidline,0.27773163862701383,0.0827144117033199,0.1861074263324698,40
High Stress - Low Cog,HS–LW,stress,eeg_fm_theta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.05310398366560929,0.7481565534350526,0.8416761226144341,39
High Stress - Low Cog,HS–LW,workload,eeg_fm_theta_mean_full_change_precond_Z,EEG_FrontalMidline,0.034052539399026714,0.8369481857815824,0.9552138156349068,39
Low Stress - High Cog,LS–HW,stress,eeg_fm_theta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.09363431120821283,0.5655064914537171,0.7286002231820359,40
Low Stress - High Cog,LS–HW,workload,eeg_fm_theta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.10064597024774846,0.5366224465060782,0.8719772171339447,40
Low Stress - Low Cog,LS–LW,stress,eeg_fm_theta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.19608611494881256,0.22526489226331772,0.5068460075924649,40
Low Stress - Low Cog,LS–LW,workload,eeg_fm_theta_mean_full_change_precond_Z,EEG_FrontalMidline,-0.14986942819780846,0.3559922028506959,0.60156324315979115,40
High Stress - High Cog,HS–HW,stress,eeg_f_alpha_mean_full_change_precond_Z,EEG_Frontal,0.353594334970323,0.025203404052055817,0.14113906269151255,40
High Stress - High Cog,HS–HW,workload,eeg_f_alpha_mean_full_change_precond_Z,EEG_Frontal,0.44040163041700015,0.004455495237378577,0.022163637167172196,40
High Stress - Low Cog,HS–LW,stress,eeg_f_alpha_mean_full_change_precond_Z,EEG_Frontal,0.19668898565377596,0.23009102111325924,0.7098432535156222,39
High Stress - Low Cog,HS–LW,workload,eeg_f_alpha_mean_full_change_precond_Z,EEG_Frontal,-0.03959120544585636,0.8108757388191435,0.9713280901449408,39
Low Stress - High Cog,LS–HW,stress,eeg_f_alpha_mean_full_change_precond_Z,EEG_Frontal,-0.24093591683243465,0.13422308254793755,0.5081547791360115,40
Low Stress - High Cog,LS–HW,workload,eeg_f_alpha_mean_full_change_precond_Z,EEG_Frontal,-0.11403992066094693,0.4835077833323391,0.883446870879736,40
Low Stress - Low Cog,LS–LW,stress,eeg_f_alpha_mean_full_change_precond_Z,EEG_Frontal,-0.20665984863887854,0.20073870810639197,0.7136584141734584,40
Low Stress - Low Cog,LS–LW,workload,eeg_f_alpha_mean_full_change_precond_Z,EEG_Frontal,-0.255693261085574,0.11127995106134465,0.5462095712329799,40
High Stress - High Cog,HS–HW,stress,eeg_f_beta_mean_full_change_precond_Z,EEG_Frontal,0.05298710933459483,0.7453918720142023,0.8348388966559067,40
High Stress - High Cog,HS–HW,workload,eeg_f_beta_mean_full_change_precond_Z,EEG_Frontal,0.13989228260304712,0.3892679607075604,0.6055279388784274,40
High Stress - Low Cog,HS–LW,stress,eeg_f_beta_mean_full_change_precond_Z,EEG_Frontal,0.2159902412553147,0.186626729067691,0.7098432535156222,39
High Stress - Low Cog,HS–LW,workload,eeg_f_beta_mean_full_change_precond_Z,EEG_Frontal,0.11590171542439816,0.4822863165906043,0.9713280901449408,39
Low Stress - High Cog,LS–HW,stress,eeg_f_beta_mean_full_change_precond_Z,EEG_Frontal,0.1084684049112294,0.5052635427794612,0.7445989051486795,40
Low Stress - High Cog,LS–HW,workload,eeg_f_beta_mean_full_change_precond_Z,EEG_Frontal,-0.12714685785100543,0.4343151919299023,0.883446870879736,40
Low Stress - Low Cog,LS–LW,stress,eeg_f_beta_mean_full_change_precond_Z,EEG_Frontal,0.1148949455429489,0.4802128393664633,0.7356377685318846,40
Low Stress - Low Cog,LS–LW,workload,eeg_f_beta_mean_full_change_precond_Z,EEG_Frontal,-0.044140932096428324,0.7868132971102338,0.9986024848039049,40
