feature,mean_val_Low,mean_val_High,sd_val_Low,sd_val_High,mean_diff,pooled_sd,cohens_d,signal_to_noise
eeg_fr_hbeta_power_precond,0.03471931818181817,-0.011862500000000008,0.26177533837899597,0.47764907579945026,0.04658181818181818,0.38514605502036936,0.1209458530721666,0.1209458530721666
eeg_c_alpha_power_precond,-0.05116818181818185,-0.0848477272727272,0.2150870230434967,0.3331874571528327,0.03367954545454535,0.28042495349530183,0.12010181346115338,0.12010181346115338
eeg_c_theta_power_precond,0.08860113636363637,0.04942045454545456,0.24806224445717368,0.40275021555366874,0.03918068181818181,0.334471682847485,0.11714199983873588,0.11714199983873588
eeg_pright_beta_power_precond,0.01656590909090916,-0.014828409090909135,0.2348432247346339,0.30434675359698865,0.031394318181818294,0.27182557516612366,0.11549435023776534,0.11549435023776534
eeg_tright_alpha_power_precond,-0.030780681818181797,-0.06580113636363634,0.25106475230984404,0.35399197162606005,0.03502045454545454,0.30687442531767667,0.11411982119135974,0.11411982119135974
eeg_fl_lbeta_power_precond,0.006422727272727267,-0.02176250000000002,0.224681016660618,0.26744611459090245,0.02818522727272729,0.24699087377615697,0.11411444820536573,0.11411444820536573
eeg_pleft_beta_power_precond,0.022595454545454575,-0.01233636363636362,0.282453321912774,0.352058845715308,0.034931818181818196,0.3191592940100258,0.10944947816785457,0.10944947816785457
eeg_p_beta_power_precond,0.025128409090909055,-0.011627272727272769,0.26642697558914313,0.3957444414338751,0.036755681818181826,0.33734032982093,0.10895727124501481,0.10895727124501481
eeg_pleft_halpha_power_precond,-0.05058636363636364,-0.08955227272727274,0.3187185044820406,0.4179049867204384,0.03896590909090911,0.37163561658234423,0.10484977045324538,0.10484977045324538
eeg_fr_halpha_power_precond,-0.02288863636363636,-0.06106249999999997,0.254597547835081,0.4682642058802068,0.03817386363636361,0.37688942534399733,0.10128664024341165,0.10128664024341165
eeg_faa_precond,-0.0029025837386363637,-0.027354986363636362,0.1573839820937437,0.3047149770896611,0.024452402624999998,0.24250869580536338,0.1008310343008294,0.1008310343008294
eeg_fl_beta_power_precond,0.012945454545454583,-0.014364772727272747,0.25006503333861285,0.2971222988415937,0.02731022727272733,0.27460351542501676,0.09945330536085092,0.09945330536085092
eeg_f_alpha_power_precond,0.010479545454545451,-0.02650681818181825,0.27986604355552536,0.4554391188594375,0.0369863636363637,0.3779879583550805,0.09785063999742248,0.09785063999742248
eeg_fl_specent_precond,0.10382159090909093,0.05344318181818183,0.513374667789982,0.5180610317295216,0.050378409090909106,0.5157231728966281,0.09768498244504323,0.09768498244504323
eeg_p_halpha_power_precond,-0.05500681818181818,-0.09165000000000005,0.2900442351500589,0.4605318042856765,0.03664318181818187,0.3848475029816377,0.09521480985139777,0.09521480985139777
eeg_pleft_alpha_power_precond,-0.02764431818181823,-0.06128295454545456,0.30872757803379053,0.41650693670910516,0.03363863636363633,0.36659974479356416,0.09175848276320696,0.09175848276320696
pupil_full_pupil_med_precond,0.09156519199272549,0.019261329825505488,0.7292793461363504,0.8983362679330918,0.07230386216722,0.81818592477047,0.08837094354501855,0.08837094354501855
eeg_pright_alpha_power_precond,-0.050251136363636345,-0.0726238636363636,0.21081479969112413,0.29225432515774075,0.022372727272727252,0.25480921327751793,0.08780187727498165,0.08780187727498165
eeg_p_hbeta_power_precond,0.03794886363636368,0.008181818181818208,0.28844179954166105,0.40038099543397687,0.029767045454545477,0.34892951525167226,0.08530962315720242,0.08530962315720242
eeg_pright_theta_power_precond,0.042088636363636356,0.013964772727272817,0.2695981400357999,0.38969451402607236,0.028123863636363537,0.33507086666314295,0.0839340761446662,0.0839340761446662
eeg_fr_alpha_power_precond,0.00843068181818175,-0.02330113636363641,0.26117273684880093,0.47284865248789,0.03173181818181816,0.38196665209983083,0.08307483914466106,0.08307483914466106
eeg_rightfrontal_alpha_precond,0.00843068181818175,-0.02330113636363641,0.26117273684880093,0.47284865248789,0.03173181818181816,0.38196665209983083,0.08307483914466106,0.08307483914466106
eeg_c_lalpha_power_precond,0.003019318181818195,-0.022452272727272692,0.230975596988356,0.3715433122374006,0.025471590909090888,0.30934944583146257,0.08233921622399844,0.08233921622399844
eeg_ab_ratio_precond,-0.008206735227272728,0.011083155681818179,0.2143350375129356,0.25436667524075884,0.019289890909090907,0.23520407498458565,0.08201342136761487,0.08201342136761487
eeg_pright_hbeta_power_precond,0.0365647727272727,0.010913636363636313,0.278923269240997,0.345450996967971,0.02565113636363639,0.3139542812498747,0.08170341318970827,0.08170341318970827
eeg_pleft_theta_power_precond,0.06678977272727274,0.033973863636363656,0.3348289379822069,0.4714914939309812,0.03281590909090908,0.40890992074022925,0.0802521715088352,0.0802521715088352
eda_tonic_sd_precond,0.04932343577068342,0.07466403748366494,0.26968848884385815,0.36433314816583107,0.025340601712981525,0.3205234186976899,0.07906006311782847,0.07906006311782847
eeg_pleft_lalpha_power_precond,0.015046590909090905,-0.014848863636363634,0.3108932207380665,0.4363181379108119,0.029895454545454538,0.37883249079959236,0.07891470576442623,0.07891470576442623
eeg_f_lalpha_power_precond,0.05236818181818187,0.021192045454545536,0.2960558391511756,0.4742812835364784,0.031176136363636333,0.3953427600250928,0.07885849828553217,0.07885849828553217
eda_sd_precond,0.059834944912786105,0.08529875096285483,0.2726056730434776,0.36896254695649294,0.025463806050068725,0.32438188453743044,0.07849947011184115,0.07849947011184115
eeg_fl_hbeta_power_precond,0.018027272727272725,-0.0063954545454545375,0.2901592300580472,0.34003332828844507,0.024422727272727263,0.3160815109546873,0.07726718085775175,0.07726718085775175
eeg_p_alpha_power_precond,-0.03149204545454553,-0.060378409090909024,0.2831477110234815,0.4652236136288652,0.028886363636363495,0.38510104968419434,0.07500982835557582,0.07500982835557582
eeg_p_theta_power_precond,0.0625272727272728,0.03193749999999993,0.3126069107152931,0.5268362399740549,0.030589772727272875,0.43317404376125723,0.07061774168567762,0.07061774168567762
