feature,mean_val_Low,mean_val_High,sd_val_Low,sd_val_High,mean_diff,pooled_sd,cohens_d,signal_to_noise
eeg_fm_halpha_power_precond,-0.10211818181818175,-0.022024999999999996,0.4369228555873305,0.33459030437478193,0.08009318181818176,0.38913510090725334,0.20582358577123375,0.20582358577123375
eeg_fl_specent_precond,0.13065681818181824,0.026607954545454518,0.5353820191132307,0.49103477630937026,0.10404886363636372,0.5136871898027792,0.20255296550476834,0.20255296550476834
eeg_f_halpha_power_precond,-0.0801295454545455,-0.006968181818181777,0.4497604246449464,0.27246802513890134,0.07316136363636372,0.3718354907078502,0.19675734421447771,0.19675734421447771
eeg_f_specent_precond,0.12670795454545455,0.02540227272727275,0.5353919295356065,0.4947843340650092,0.10130568181818181,0.5154881450858082,0.1965237858211433,0.1965237858211433
eeg_tright_specent_precond,0.04963409090909093,-0.0633875,0.6066472202680353,0.5729402706652763,0.11302159090909093,0.5900344920464117,0.19155082021916905,0.19155082021916905
eeg_tright_theta_power_precond,-0.0014965909090909385,0.06957954545454549,0.4089335337750082,0.3289234879970004,0.07107613636363642,0.3710911586132366,0.19153282074746036,0.19153282074746036
eeg_fr_alpha_power_precond,-0.04309659090909092,0.02822613636363626,0.47168199677346023,0.2593254337187282,0.07132272727272718,0.3806137061730732,0.1873887516817253,0.1873887516817253
eeg_rightfrontal_alpha_precond,-0.04309659090909092,0.02822613636363626,0.47168199677346023,0.2593254337187282,0.07132272727272718,0.3806137061730732,0.1873887516817253,0.1873887516817253
eeg_pright_hbeta_power_precond,0.051368181818181764,-0.0038897727272727556,0.3394706625028215,0.28404709704990205,0.05525795454545452,0.3129880860692472,0.1765497058991215,0.1765497058991215
hrv_rmssd_precond,3.956132418154707,-11.512939312716684,97.64576145050628,78.08041344064094,15.469071730871391,88.4060113688843,0.17497760040688753,0.17497760040688753
eeg_fl_alpha_power_precond,-0.018760227272727137,0.034148863636363595,0.31966265643204106,0.28896476458403647,0.05290909090909073,0.30470054897250903,0.173642912976387,0.173642912976387
eda_med_precond,0.9870928429400195,1.1954522438152941,1.0388347751435434,1.4178578276952667,0.2083594008752746,1.242879420861951,0.1676424899937397,0.1676424899937397
eeg_ta_ratio_precond,0.08882213181818181,0.12286552272727273,0.21352742407419,0.19743121893030355,0.03404339090909092,0.20563687295821295,0.1655510046391768,0.1655510046391768
eeg_pright_beta_power_precond,0.023060227272727333,-0.021322727272727313,0.3057315637771196,0.23196706500632563,0.04438295454545464,0.2713673786007189,0.16355302090587046,0.16355302090587046
eda_tonic_mean_precond,0.969772779309497,1.155890802411573,1.0056737790078305,1.3277459151757702,0.18611802310207604,1.177770980507211,0.1580256486043863,0.1580256486043863
eda_mean_precond,0.9701881873306512,1.1559855037977425,1.006409228576852,1.3284039745268648,0.1857973164670913,1.1784559081491819,0.1576616614862531,0.1576616614862531
eeg_fr_halpha_power_precond,-0.07143863636363633,-0.012512500000000008,0.4662768652225813,0.256238286107368,0.05892613636363632,0.3762128216243026,0.1566297929698997,0.1566297929698997
eeg_pleft_alpha_power_precond,-0.07221818181818188,-0.016709090909090916,0.2883920744943227,0.42969140239911224,0.05550909090909096,0.36592669342837975,0.151694565895219,0.151694565895219
eeg_fl_halpha_power_precond,-0.05083522727272722,-0.005774999999999964,0.3116394166118186,0.28308167874145523,0.04506022727272725,0.2977031766921837,0.15135957826650334,0.15135957826650334
eeg_fr_specent_precond,0.12979431818181814,0.05061704545454545,0.5379931487744666,0.5103004261006713,0.07917727272727268,0.5243296448832508,0.1510066682285389,0.1510066682285389
eeg_fm_lbeta_power_precond,-0.04408522727272725,0.002236363636363693,0.39202005711641463,0.26406607070384813,0.046321590909090944,0.3342234393923672,0.13859468083179807,0.13859468083179807
eeg_t_theta_power_precond,0.014074999999999975,0.06610340909090903,0.39621398672417163,0.35737334624861733,0.052028409090909056,0.37729380586274947,0.1378989219606636,0.1378989219606636
