condition,cond_short,rating,feature,group,rho,p_raw,p_fdr,n
Low Stress - Low Cog,LS–LW,stress,eda_tonic_sd_precond_Z,EDA,0.30703582783736,0.03579467361018927,0.14177590286657504,47
Low Stress - Low Cog,LS–LW,workload,eda_tonic_sd_precond_Z,EDA,-0.05042550200775446,0.7364145346196735,0.7721725030575862,47
High Stress - High Cog,HS–HW,stress,pupil_full_pupil_asymmetry_precond_Z,Pupillometry,-0.19745050094180355,0.18840502979845475,0.2512067063979396,46
High Stress - High Cog,HS–HW,workload,pupil_full_pupil_asymmetry_precond_Z,Pupillometry,-0.020264057559125206,0.8936644761864603,0.9177976275485271,46
High Stress - Low Cog,HS–LW,stress,pupil_full_pupil_asymmetry_precond_Z,Pupillometry,0.02395138964774439,0.874458227251925,0.874458227251925,46
High Stress - Low Cog,HS–LW,workload,pupil_full_pupil_asymmetry_precond_Z,Pupillometry,0.061363823932514966,0.6853907027502997,0.6853907027502997,46
Low Stress - High Cog,LS–HW,stress,pupil_full_pupil_asymmetry_precond_Z,Pupillometry,0.03824151617939342,0.8007930228882659,0.8007930228882659,46
Low Stress - High Cog,LS–HW,workload,pupil_full_pupil_asymmetry_precond_Z,Pupillometry,-0.10719187127557846,0.4782935527345682,0.6565567151208619,46
Low Stress - Low Cog,LS–LW,stress,pupil_full_pupil_asymmetry_precond_Z,Pupillometry,0.024432559244352257,0.8705066092980831,0.8705066092980831,47
Low Stress - Low Cog,LS–LW,workload,pupil_full_pupil_asymmetry_precond_Z,Pupillometry,0.09938343992913655,0.5062806762831646,0.651238298496652,47
High Stress - High Cog,HS–HW,stress,pupil_full_pupil_mean_precond_Z,Pupillometry,-0.21692796920363294,0.14759065211701566,0.2512067063979396,46
High Stress - High Cog,HS–HW,workload,pupil_full_pupil_mean_precond_Z,Pupillometry,-0.18115810950800226,0.22825734927362074,0.7416921916441988,46
High Stress - Low Cog,HS–LW,stress,pupil_full_pupil_mean_precond_Z,Pupillometry,0.3307038226883874,0.024781535737307587,0.049563071474615174,46
High Stress - Low Cog,HS–LW,workload,pupil_full_pupil_mean_precond_Z,Pupillometry,0.26360252414912677,0.07671178468268738,0.30684713873074954,46
Low Stress - High Cog,LS–HW,stress,pupil_full_pupil_mean_precond_Z,Pupillometry,0.1562563250382033,0.299734448161907,0.39964593088254263,46
Low Stress - High Cog,LS–HW,workload,pupil_full_pupil_mean_precond_Z,Pupillometry,-0.015465806647385515,0.9187459746997855,0.9187459746997855,46
Low Stress - Low Cog,LS–LW,stress,pupil_full_pupil_mean_precond_Z,Pupillometry,0.2368213063899001,0.10899231673536158,0.21798463347072317,47
Low Stress - Low Cog,LS–LW,workload,pupil_full_pupil_mean_precond_Z,Pupillometry,0.06768405566349348,0.651238298496652,0.651238298496652,47
High Stress - High Cog,HS–HW,stress,pupil_full_pupil_med_precond_Z,Pupillometry,-0.21674796787097744,0.14793519769824345,0.2512067063979396,46
High Stress - High Cog,HS–HW,workload,pupil_full_pupil_med_precond_Z,Pupillometry,-0.13505513046095363,0.3708460958220994,0.7416921916441988,46
High Stress - Low Cog,HS–LW,stress,pupil_full_pupil_med_precond_Z,Pupillometry,0.4238273246261019,0.003333743143489082,0.013334972573956327,46
High Stress - Low Cog,HS–LW,workload,pupil_full_pupil_med_precond_Z,Pupillometry,0.2030494011425495,0.17592936130115439,0.35185872260230877,46
Low Stress - High Cog,LS–HW,stress,pupil_full_pupil_med_precond_Z,Pupillometry,0.21256323278935566,0.1561134305474359,0.39964593088254263,46
Low Stress - High Cog,LS–HW,workload,pupil_full_pupil_med_precond_Z,Pupillometry,-0.10379693810907921,0.49241753634064644,0.6565567151208619,46
Low Stress - Low Cog,LS–LW,stress,pupil_full_pupil_med_precond_Z,Pupillometry,0.2458962569663738,0.09569823676593005,0.21798463347072317,47
Low Stress - Low Cog,LS–LW,workload,pupil_full_pupil_med_precond_Z,Pupillometry,0.24267639732253427,0.10026336562793497,0.20052673125586995,47
High Stress - High Cog,HS–HW,stress,pupil_full_pupil_sd_precond_Z,Pupillometry,0.05756120812201964,0.7039673702842688,0.7039673702842688,46
High Stress - High Cog,HS–HW,workload,pupil_full_pupil_sd_precond_Z,Pupillometry,-0.015646930520337186,0.9177976275485271,0.9177976275485271,46
High Stress - Low Cog,HS–LW,stress,pupil_full_pupil_sd_precond_Z,Pupillometry,-0.058755752729622954,0.6981127331709461,0.874458227251925,46
High Stress - Low Cog,HS–LW,workload,pupil_full_pupil_sd_precond_Z,Pupillometry,-0.11530661631221562,0.44541828249810933,0.5938910433308124,46
Low Stress - High Cog,LS–HW,stress,pupil_full_pupil_sd_precond_Z,Pupillometry,0.17034857207184342,0.2576929616372971,0.39964593088254263,46
Low Stress - High Cog,LS–HW,workload,pupil_full_pupil_sd_precond_Z,Pupillometry,-0.1518918246344854,0.3136026318372995,0.6565567151208619,46
Low Stress - Low Cog,LS–LW,stress,pupil_full_pupil_sd_precond_Z,Pupillometry,0.15055110315329437,0.3124447181975651,0.4165929575967534,47
Low Stress - Low Cog,LS–LW,workload,pupil_full_pupil_sd_precond_Z,Pupillometry,0.30625127354418513,0.03629436607679149,0.14517746430716597,47
High Stress - High Cog,HS–HW,stress,hr_mean_precond_Z,HR/HRV,-0.024795366494032686,0.8686004863219496,0.9391914572425892,47
High Stress - High Cog,HS–HW,workload,hr_mean_precond_Z,HR/HRV,0.018181829736867362,0.9034519913404035,0.9034519913404035,47
High Stress - Low Cog,HS–LW,stress,hr_mean_precond_Z,HR/HRV,0.2053260276393223,0.1661923950026591,0.3323847900053182,47
High Stress - Low Cog,HS–LW,workload,hr_mean_precond_Z,HR/HRV,0.1491669308157052,0.3169657559180398,0.3169657559180398,47
Low Stress - High Cog,LS–HW,stress,hr_mean_precond_Z,HR/HRV,0.23801930730223564,0.10716065258349187,0.1428808701113225,47
Low Stress - High Cog,LS–HW,workload,hr_mean_precond_Z,HR/HRV,0.06476611730455185,0.665368978181736,0.8572108056007165,47
Low Stress - Low Cog,LS–LW,stress,hr_mean_precond_Z,HR/HRV,0.37387632919869507,0.009631645035500961,0.02199446509830947,47
Low Stress - Low Cog,LS–LW,workload,hr_mean_precond_Z,HR/HRV,0.20393270544230385,0.16914891646360233,0.2537197250231602,47
High Stress - High Cog,HS–HW,stress,hr_med_precond_Z,HR/HRV,0.04482029276485807,0.7648266009639677,0.9391914572425892,47
High Stress - High Cog,HS–HW,workload,hr_med_precond_Z,HR/HRV,0.048080723850273684,0.7482600239496964,0.9034519913404035,47
High Stress - Low Cog,HS–LW,stress,hr_med_precond_Z,HR/HRV,0.21063539069739615,0.15527033468388002,0.3323847900053182,47
High Stress - Low Cog,HS–LW,workload,hr_med_precond_Z,HR/HRV,0.15916714923069541,0.2852307591291188,0.3169657559180398,47
Low Stress - High Cog,LS–HW,stress,hr_med_precond_Z,HR/HRV,0.2956314528605092,0.0436417351747435,0.1428808701113225,47
Low Stress - High Cog,LS–HW,workload,hr_med_precond_Z,HR/HRV,0.04361282098718347,0.7709888094984422,0.8572108056007165,47
Low Stress - Low Cog,LS–LW,stress,hr_med_precond_Z,HR/HRV,0.35667954649414513,0.013856286433068653,0.02199446509830947,47
