feature,model,term,estimate,std_error,df,t_value,p_value
eeg_f_beta_power,baseline,(Intercept),0.03992978723404266,0.050223769306431756,179.17739640832005,0.7950376442360962,0.42764347721815765
eeg_f_beta_power,baseline,stress_factorHigh,-0.07928085106382994,0.06757964851360927,137.9999998895853,-1.1731468394344233,0.24275784540314524
eeg_f_beta_power,baseline,workload_factorHigh,-0.05187234042553206,0.06757964851360927,137.9999998895853,-0.7675733977084231,0.4440520008681881
eeg_f_beta_power,baseline,stress_factorHigh:workload_factorHigh,0.07727234042553213,0.09557205546835301,137.99999990064273,0.8085244169632775,0.4201804126043006
eeg_f_beta_power,with_response_rate,(Intercept),-0.021251427704171467,0.11193816280386493,113.84732169259624,-0.18984970962412215,0.8497649848199331
eeg_f_beta_power,with_response_rate,stress_factorHigh,-0.084603027586684,0.06823731842048564,140.73477416601915,-1.239835174432722,0.21709970117507674
eeg_f_beta_power,with_response_rate,workload_factorHigh,-0.011965654949263318,0.09399323401830259,178.82847850972672,-0.12730336469679654,0.8988433305113301
eeg_f_beta_power,with_response_rate,response_rate,0.0025043529432689582,0.0040930939926816685,97.77399434615076,0.6118483835813855,0.5420582335885449
eeg_f_beta_power,with_response_rate,stress_factorHigh:workload_factorHigh,0.0816920917481358,0.09598705726342635,138.84170812126945,0.8510740309908706,0.396193668079172
eeg_p_alpha_power,baseline,(Intercept),-0.06554680851063853,0.05495587515899086,170.52912825714685,-1.1927170356400916,0.23463713273744627
eeg_p_alpha_power,baseline,stress_factorHigh,0.013672340425532276,0.07113464855163211,138.00000052275772,0.19220366873125683,0.8478652173361807
eeg_p_alpha_power,baseline,workload_factorHigh,0.04749361702127669,0.07113464855163211,138.00000052013988,0.6676579977309384,0.5054669331135133
eeg_p_alpha_power,baseline,stress_factorHigh:workload_factorHigh,-0.07630638297872365,0.10059958473636178,138.00000053215211,-0.7585158843219624,0.449435717834642
eeg_p_alpha_power,with_response_rate,(Intercept),-0.12595117471888814,0.12572739122279736,121.83573505554762,-1.0017799104388814,0.318435381642067
eeg_p_alpha_power,with_response_rate,stress_factorHigh,0.00841774226111053,0.07189317354756472,140.90182368048258,0.1170868087432714,0.9069579935829393
eeg_p_alpha_power,with_response_rate,workload_factorHigh,0.08689358719349916,0.10250064255816049,179.39521983687615,0.8477369997382637,0.39771406991174396
eeg_p_alpha_power,with_response_rate,response_rate,0.0024725539114039317,0.004626218567993473,110.68429344655911,0.534465433282879,0.5940915150154493
eeg_p_alpha_power,with_response_rate,stress_factorHigh:workload_factorHigh,-0.07194275146683614,0.10104750683134445,138.90652129128873,-0.7119695846322439,0.47767767758176116
pupil_full_pupil_med,baseline,(Intercept),0.07003758992083187,0.11960813725142033,166.9366044388691,0.5855587381451355,0.5589628373595419
pupil_full_pupil_med,baseline,stress_factorHigh,-0.139652970803005,0.15517705900894987,135.59674385948276,-0.8999588708209149,0.3697376439487633
pupil_full_pupil_med,baseline,workload_factorHigh,-0.03443601363149123,0.1551922044130145,135.75511420223492,-0.22189267664402995,0.8247308813720757
pupil_full_pupil_med,baseline,stress_factorHigh:workload_factorHigh,0.2223842654042115,0.2199677437449449,135.33915048059444,1.010985800091074,0.31382727557128837
pupil_full_pupil_med,with_response_rate,(Intercept),0.24579892676032133,0.2756596997530214,121.75169064296006,0.8916752321088139,0.37432586582351945
pupil_full_pupil_med,with_response_rate,stress_factorHigh,-0.1240072390017491,0.15621960148069775,137.3509549724775,-0.7938007639654058,0.4286806919213354
pupil_full_pupil_med,with_response_rate,workload_factorHigh,-0.1484732625289761,0.22355017076790493,176.2210422583646,-0.6641608101616016,0.5074554646987444
pupil_full_pupil_med,with_response_rate,response_rate,-0.0071945027844148145,0.010156585948209833,112.08777346302705,-0.70835838155663855,0.4801932662082472
pupil_full_pupil_med,with_response_rate,stress_factorHigh:workload_factorHigh,0.20933524204321585,0.2199726229848575,135.03011437949522,0.9516422507614781,0.34297875683283274
