task,model,modality,baseline_adjustment,normalization,baseline_duration,n_features,n_windows_train,n_windows_test,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,auc_mean,best_window_accuracy,training_time_seconds
stress_classification,Random Forest,eeg,subtract,within_subject,last_120s,77,3853.6,963.4,0.4802142324867883,0.02891535275126734,0.4951705964810542,0.5048498848870333,0.49456754328820535,0.48326951128549245,0.5797101449275363,24.2252779006958
stress_classification,SVM,physio,subtract,within_subject,last_120s,10,3853.6,963.4,0.5144042193683849,0.04659016327353007,0.5219904897332832,0.5546321481486738,0.5344748235017226,0.5348252833460181,0.5869565217391305,30.923685312271118
stress_classification,Neural Network (MLP),eeg,subtract,within_subject,last_120s,77,3853.6,963.4,0.489907143905877,0.03224904885158046,0.4979792565359979,0.5544643705561487,0.5210803522586164,0.49641288528910577,0.5942028985507246,28.225513458251953
stress_classification,Neural Network (MLP),all,subtract,within_subject,last_120s,87,3853.6,963.4,0.4956309356332131,0.02756805077448586,0.5060730424059845,0.5373382807668522,0.5174177783624766,0.5109269181484624,0.5579710144927537,30.2116436958313
stress_classification,K-Nearest Neighbors,eeg,subtract,within_subject,last_120s,77,3853.6,963.4,0.4902608305530579,0.02832613762315923,0.5005412529042264,0.5159976634491794,0.5051279381289907,0.48086872226032923,0.572463768115942,11.471794128417969
stress_classification,K-Nearest Neighbors,physio,subtract,within_subject,last_120s,10,3853.6,963.4,0.5089724464574117,0.03181021707780632,0.5158770172463232,0.5160840543413612,0.5144356913029314,0.5111155594797696,0.6231884057971014,2.400434970855713
stress_classification,K-Nearest Neighbors,all,subtract,within_subject,last_120s,87,3853.6,963.4,0.48188551942073116,0.027458199192035834,0.49249377306044106,0.49418000191559325,0.4899051533784915,0.4734576162065114,0.5797101449275363,18.354201316833496
stress_classification,SVM,all,subtract,within_subject,last_120s,87,3853.6,963.4,0.484493313575708,0.03641932121941074,0.4966446967772023,0.4994231273597567,0.49296301532944264,0.4873175311014396,0.5693430656934306,55.60252261161804
stress_classification,Linear Discriminant Analysis,physio,subtract,within_subject,last_120s,10,3853.6,963.4,0.5712343164811726,0.051536759117997925,0.5757859345966626,0.630146613834131,0.5972534260605797,0.6233013830405343,0.6376811594202898,2.305478811264038
stress_classification,SVM,eeg,subtract,within_subject,last_120s,77,3853.6,963.4,0.4727277930719752,0.049872971983521565,0.4881878075829499,0.5197610380150669,0.4991616521834115,0.4728885460662732,0.5547445255474452,57.0390088558197
stress_classification,Linear Discriminant Analysis,all,subtract,within_subject,last_120s,87,3853.6,963.4,0.5430432489326352,0.036619363532983215,0.5501675155397086,0.5637470234400036,0.554237523999141,0.5846270668390887,0.6159420289855072,9.012737512588501
stress_classification,Linear Discriminant Analysis,eeg,subtract,within_subject,last_120s,77,3853.6,963.4,0.5089704913306584,0.04309382034185961,0.5171272632695816,0.5315667968560621,0.5212285510284632,0.5248032095848877,0.572463768115942,8.839071035385132
stress_classification,Neural Network (MLP),physio,subtract,within_subject,last_120s,10,3853.6,963.4,0.5483809181888282,0.03730484213935938,0.5525699593924964,0.5736038009154645,0.5594195642369792,0.5778250861057176,0.6231884057971014,30.43903374671936
stress_classification,Random Forest,all,subtract,within_subject,full,87,3853.6,963.4,0.49466341901736577,0.040095766379456915,0.5081265276865263,0.4974845043875364,0.4991875931779872,0.5018026225722267,0.5693430656934306,16.919578313827515
stress_classification,Random Forest,eeg,subtract,within_subject,full,77,3853.6,963.4,0.49645477603913835,0.021506970714429575,0.5085139929361532,0.5174712560497865,0.5084456390484384,0.49747388000707016,0.6086956521739131,15.557438850402832
stress_classification,XGBoost,physio,subtract,within_subject,last_60s,10,3853.6,963.4,0.5327748464056263,0.04429444917497252,0.5363870824615172,0.5825108556198423,0.5545008561721587,0.5631747172601438,0.6231884057971014,225.6074342727661
stress_classification,XGBoost,eeg,subtract,within_subject,last_60s,77,3853.6,963.4,0.4946723903077679,0.03926658274623234,0.505692387826685,0.5214906059068856,0.5096309840294369,0.5045122487125289,0.5507246376811594,226.88185358047485
stress_classification,XGBoost,all,subtract,within_subject,last_60s,87,3853.6,963.4,0.5213361604345683,0.05892489933519656,0.5266052915855803,0.5446767862020525,0.5341848557517298,0.5365838978327445,0.6086956521739131,227.34956240653992
stress_classification,XGBoost,physio,subtract,within_subject,last_90s,10,3853.6,963.4,0.5415554712802537,0.057321443623509556,0.5469545780509162,0.5701444428284089,0.5556204562414166,0.5522372010905048,0.6304347826086957,191.75728273391724
